City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto baquerizo moreno,-0.9,-89.6,25.55,89,100,6.17,EC,1684609278
84,sitka,57.0531,-135.33,11.0,86,100,1.85,US,1684609318
85,bich'vinta,43.1592,40.3378,15.1,91,100,3.66,GE,1684609529
86,troitskiy,57.0603,63.7481,12.81,47,82,0.56,RU,1684609530
87,iqaluit,63.7506,-68.5145,-2.15,63,75,4.63,CA,1684609284
88,huntsville,34.7304,-86.5861,23.32,89,100,3.13,US,1684609247
89,lebu,-37.6167,-73.65,12.78,66,100,6.2,CL,1684609330
90,shimoda,34.6667,138.95,16.72,90,97,2.76,JP,1684609280
91,haiku-pauwela,20.9219,-156.3051,26.76,65,11,0.89,US,1684609334
92,al ghayzah,16.2079,52.176,30.34,69,100,5.0,YE,1684609530
93,wailua homesteads,22.0669,-159.378,26.24,80,53,0.45,US,1684609317
94,atafu village,-8.5421,-172.5159,29.13,75,15,7.76,TK,1684609365
95,port mathurin,-19.6833,63.4167,25.18,74,15,2.23,MU,1684609271
96,puerto deseado,-47.7503,-65.8938,10.27,53,100,14.12,AR,1684609531
97,mawu,29.5923,107.3139,18.88,94,76,1.46,CN,1684609531
98,bredasdorp,-34.5322,20.0403,15.8,71,100,4.63,ZA,1684609245
99,mosjoen,65.836,13.1908,12.29,58,100,1.03,NO,1684609274
100,jaisalmer,26.9147,70.9181,33.18,29,0,10.7,IN,1684609531
101,cabedelo,-6.9811,-34.8339,28.37,80,43,3.76,BR,1684609232
102,afaahiti,-17.75,-149.2833,27.93,82,25,3.44,PF,1684609365
103,dwarka,22.2394,68.9678,27.94,80,1,5.46,IN,1684608949
104,sao jose da coroa grande,-8.8978,-35.1478,25.27,90,84,4.94,BR,1684609278
105,masterton,-40.9597,175.6575,11.05,96,100,3.29,NZ,1684609531
106,abashiri,44.0213,144.2697,6.86,87,100,6.02,JP,1684609532
107,parabel',58.6978,81.4825,12.12,58,64,1.01,RU,1684609532
108,ta`u,-14.2336,-169.5144,28.18,80,99,6.76,AS,1684609352
109,port de pollenca,39.9075,3.0814,20.02,67,10,4.79,ES,1684609532
110,anapa,44.8908,37.3239,18.19,63,0,5.0,RU,1684609532
111,carbonear,47.7332,-53.2148,14.91,63,100,9.28,CA,1684609532
112,feijo,-8.1642,-70.3536,30.44,68,24,0.57,BR,1684609532
113,punta arenas,-53.15,-70.9167,6.06,75,0,4.63,CL,1684609338
114,tobelo,1.7284,128.0095,26.37,80,100,1.06,ID,1684609352
115,polyarnyy,69.1989,33.4478,10.59,71,100,1.67,RU,1684609391
116,flying fish cove,-10.4217,105.6791,25.82,83,75,4.12,CX,1684609292
117,margate,51.3813,1.3862,13.83,77,100,4.47,GB,1684609396
118,parres,43.35,-5.15,15.29,87,36,2.08,ES,1684609533
119,murzuq,25.9155,13.9184,29.49,14,6,7.28,LY,1684609533
120,kalmunai,7.4167,81.8167,26.66,84,25,3.94,LK,1684609314
121,nezlobnaya,44.1181,43.4028,17.08,62,100,5.2,RU,1684609533
122,margaret river,-33.95,115.0667,11.69,70,92,4.64,AU,1684609291
123,la junta,37.985,-103.5438,23.43,42,0,3.09,US,1684609533
124,hermanus,-34.4187,19.2345,16.56,79,100,6.88,ZA,1684609305
125,tchintabaraden,15.8969,5.7985,36.44,12,67,3.4,NE,1684609533
126,tiksi,71.6872,128.8694,-11.43,94,100,3.14,RU,1684609279
127,velikiye luki,56.34,30.5452,10.29,69,100,2.51,RU,1684609533
128,kogalym,62.2654,74.4791,12.01,73,7,4.98,RU,1684609533
129,sao gabriel da cachoeira,-0.1303,-67.0892,29.89,84,40,6.17,BR,1684609365
130,youkaichi,35.1163,136.1977,18.46,88,81,0.38,JP,1684609534
131,blackmans bay,-43.0167,147.3167,7.07,80,53,7.1,AU,1684609281
132,bodaybo,57.8506,114.1933,6.92,76,99,1.72,RU,1684609534
133,fale old settlement,-9.3852,-171.2468,28.45,78,16,6.5,TK,1684609297
134,dzhalil',55.0239,52.7358,12.03,61,10,1.93,RU,1684609534
135,bilibino,68.0546,166.4372,3.35,88,30,1.47,RU,1684609284
136,durango,24.8333,-104.8333,13.57,75,100,1.7,MX,1684609492
137,al jawf,29.5,38.75,22.46,21,0,3.34,SA,1684609534
138,vilyuchinsk,52.9306,158.4028,0.15,100,100,0.44,RU,1684609305
139,vorgashor,67.5833,63.95,-1.26,89,100,1.73,RU,1684609296
140,oyo,7.85,3.9333,26.43,80,100,4.81,NG,1684609534
141,flin flon,54.7682,-101.865,11.91,58,75,4.63,CA,1684609534
142,kailua-kona,19.6406,-155.9956,29.04,72,20,3.09,US,1684609173
143,callao,-12.0667,-77.15,24.16,64,100,3.09,PE,1684609372
144,yellowknife,62.456,-114.3525,7.29,42,75,6.71,CA,1684609276
145,sandnessjoen,66.0217,12.6316,11.96,72,100,0.89,NO,1684609396
146,badger,64.8,-147.5333,20.77,41,100,4.12,US,1684609289
147,leh,34.1667,77.5833,7.17,39,0,2.0,IN,1684609314
148,waingapu,-9.6567,120.2641,23.12,81,100,4.05,ID,1684609535
149,iskateley,67.6803,53.1512,5.62,63,100,3.14,RU,1684609338
150,kiomboi,-4.2667,34.3667,19.34,50,98,2.27,TZ,1684609535
151,poronaysk,49.2167,143.1167,4.65,96,100,3.14,RU,1684609389
152,itoman,26.1247,127.6694,23.01,78,100,2.06,JP,1684609319
153,luderitz,-26.6481,15.1594,13.62,65,0,6.24,NA,1684609390
154,mandalgovi,45.7625,106.2708,0.33,81,66,7.16,MN,1684609536
155,heihe,50.2441,127.4902,8.32,81,100,5.37,CN,1684609536
156,kapa'a,22.0752,-159.319,26.99,80,53,0.45,US,1684609259
157,przysucha,51.3586,20.6289,17.81,91,23,3.64,PL,1684609536
158,lompoc,34.6391,-120.4579,24.32,77,20,4.12,US,1684609303
159,igarka,67.4667,86.5833,-1.34,88,31,3.35,RU,1684609318
160,monrovia,6.3005,-10.7969,26.87,78,100,4.48,LR,1684609536
161,bridgewater,44.3835,-64.5155,19.5,71,100,10.8,CA,1684609400
162,manhattan,40.7834,-73.9662,18.56,93,100,4.02,US,1684609408
163,dumka,24.2667,87.25,31.28,28,5,1.12,IN,1684609536
164,chinde,26.8418,88.0763,16.76,71,72,2.81,NP,1684609337
165,codrington,-38.2667,141.9667,13.01,73,99,9.77,AU,1684609312
166,udachny,66.4167,112.4,1.36,92,100,6.79,RU,1684609374
167,kosice,48.6667,21.3333,20.27,60,0,3.09,SK,1684609308
168,susuman,62.7833,148.1667,0.56,94,100,3.6,RU,1684609329
169,san juan de miraflores,-12.1629,-76.9635,23.29,74,29,4.18,PE,1684609537
170,marsabit,2.3284,37.9899,21.8,47,3,3.91,KE,1684609537
171,bamboo flat,11.7,92.7167,28.05,83,40,0.51,IN,1684609537
172,spisska nova ves,48.9446,20.5615,16.55,92,12,2.03,SK,1684609537
173,serowe,-22.3833,26.7167,14.95,67,0,1.76,BW,1684609312
174,hadibu,12.65,54.0333,29.58,73,18,4.33,YE,1684609321
175,coquimbo,-29.9533,-71.3436,15.85,82,100,2.06,CL,1684609110
176,thompson,55.7435,-97.8558,8.09,49,20,6.17,CA,1684609298
177,tazacorte,28.629,-17.9293,20.54,78,75,3.6,ES,1684609538
178,senillosa,-39.0,-68.4167,16.88,26,1,6.36,AR,1684609538
179,buenaventura,3.8801,-77.0312,25.98,93,100,1.7,CO,1684609330
180,hamilton,39.1834,-84.5333,22.34,54,14,2.68,US,1684609316
181,utrik,11.2278,169.8474,27.52,83,55,5.66,MH,1684609352
182,as sulayyil,20.4607,45.5779,28.14,24,100,7.56,SA,1684609538
183,sarupathar,26.1984,93.8094,21.54,95,5,0.9,IN,1684609343
184,gorontalo,0.5412,123.0595,23.77,95,100,1.23,ID,1684609315
185,flers,48.7372,-0.5747,13.14,88,65,4.35,FR,1684609538
186,vallegrande,-18.4897,-64.1069,19.12,75,84,2.15,BO,1684609538
187,papatowai,-46.5619,169.4708,7.01,81,57,2.86,NZ,1684609313
188,acajutla,13.5928,-89.8275,32.64,46,100,3.85,SV,1684609538
189,new norfolk,-42.7826,147.0587,7.72,72,44,0.89,AU,1684609320
190,damara,4.9608,18.7035,27.38,51,85,1.35,CF,1684609539
191,touros,-5.1989,-35.4608,27.96,77,74,5.27,BR,1684609384
192,portland,45.5234,-122.6762,25.06,61,75,2.57,US,1684608802
193,merizo village,13.2658,144.6691,26.99,94,93,5.13,GU,1684609539
194,rawson,-43.3002,-65.1023,14.02,24,90,15.93,AR,1684609539
195,xining,36.6167,101.7667,3.88,97,100,2.56,CN,1684609539
196,trincomalee,8.5711,81.2335,26.66,84,72,4.42,LK,1684609388
197,xai-xai,-25.0519,33.6442,19.38,80,0,2.26,MZ,1684609395
198,okhotsk,59.3833,143.3,0.79,97,100,3.88,RU,1684609539
199,pacific grove,36.6177,-121.9166,20.12,80,100,5.14,US,1684609539
200,shalya,57.2471,58.7298,10.16,48,3,1.55,RU,1684609540
201,arraial do cabo,-22.9661,-42.0278,23.98,69,0,5.66,BR,1684609366
202,novoazovs'k,47.1139,38.086,17.98,61,100,5.42,UA,1684609540
203,kone,-21.0595,164.8658,17.9,70,65,1.9,NC,1684609540
204,whitehorse,60.7161,-135.0538,16.72,42,75,3.09,CA,1684609290
205,lata,40.1629,-8.3327,20.51,41,100,2.01,PT,1684609540
206,san antonio de pale,-1.4014,5.6325,26.98,74,85,5.17,GQ,1684609283
207,chernogorsk,53.8236,91.2842,9.76,37,0,1.0,RU,1684609540
208,kralendijk,12.15,-68.2667,26.61,88,8,8.5,BQ,1684609413
209,columbia,34.0007,-81.0348,24.47,75,100,2.06,US,1684609540
210,san-pedro,4.7485,-6.6363,24.96,90,100,4.72,CI,1684609540
211,caconda,-13.7333,15.0667,16.52,51,2,1.73,AO,1684609541
212,papao,-17.75,-149.55,28.82,76,0,0.87,PF,1684609541
213,thunder bay,48.4001,-89.3168,22.99,27,40,8.75,CA,1684609322
214,kerikeri,-35.2268,173.9474,13.58,75,1,4.67,NZ,1684609393
215,mount gambier,-37.8333,140.7667,11.81,79,59,5.55,AU,1684609312
216,bonthe,7.5264,-12.505,27.56,76,100,3.45,SL,1684609358
217,keflavik,64.0049,-22.5624,5.95,81,75,20.06,IS,1684609317
218,taoudenni,22.6783,-3.9836,33.62,8,0,1.99,ML,1684609541
219,labytnangi,66.6572,66.4183,4.09,74,24,2.17,RU,1684609375
220,palmer,42.1584,-72.3287,17.86,84,100,0.45,US,1684609316
221,aykhal,66.0,111.5,-0.81,98,100,4.42,RU,1684609339
222,dawei,14.0833,98.2,26.17,88,65,1.54,MM,1684609542
223,haselunne,52.6667,7.4833,17.04,55,95,4.12,DE,1684609542
224,port alfred,-33.5906,26.891,14.81,62,4,1.99,ZA,1684609284
225,sovetskaya gavan',48.9723,140.2878,5.02,95,100,2.13,RU,1684609293
226,loreto,22.2667,-101.9667,16.65,67,100,2.5,MX,1684609517
227,rikaze,29.25,88.8833,7.69,41,7,2.01,CN,1684609522
228,chimbote,-9.0853,-78.5783,24.42,73,59,5.48,PE,1684609482
229,lerwick,60.1545,-1.1494,9.36,97,100,6.34,GB,1684609542
230,sona,45.4388,10.8255,16.59,88,75,1.03,IT,1684608984
231,ciudad lazaro cardenas,17.9583,-102.2,33.07,47,100,3.1,MX,1684609542
232,argo,37.6333,22.7333,20.99,60,82,0.44,GR,1684609542
233,pierre,44.3683,-100.351,24.36,32,0,3.6,US,1684609542
234,korla,41.7597,86.1469,18.3,47,100,5.2,CN,1684609297
235,klotze,52.6167,11.1667,15.79,83,13,4.54,DE,1684609543
236,gucheng chengguanzhen,32.266,111.6348,20.69,79,100,4.42,CN,1684609543
237,aitape,-3.1374,142.3475,25.27,81,100,2.62,PG,1684609543
238,salalah,17.0151,54.0924,30.05,79,40,5.14,OM,1684609543
239,sarnia,42.9787,-82.4041,13.96,71,100,6.17,CA,1684609543
240,cockburn town,21.4612,-71.1419,26.98,76,100,7.53,TC,1684609121
241,paracuru,-3.41,-39.0306,28.39,84,24,4.71,BR,1684609543
242,fortuna,40.5982,-124.1573,15.52,93,75,4.12,US,1684609296
243,rawlins,41.7911,-107.2387,20.94,21,0,3.6,US,1684609490
244,salekhard,66.53,66.6019,4.3,72,17,1.94,RU,1684609544
245,lesnoy,57.6198,63.0784,12.78,41,23,1.32,RU,1684609544
246,krasnoturansk,54.3186,91.5639,7.93,54,84,3.05,RU,1684609544
247,cole harbour,44.6724,-63.4751,19.54,70,100,11.32,CA,1684609404
248,colonia,50.9333,6.95,17.75,64,0,3.6,DE,1684609204
249,wuwei,37.9281,102.6414,5.31,75,100,1.66,CN,1684609545
250,rio de janeiro,-22.9028,-43.2075,26.12,61,20,3.09,BR,1684609205
251,jayapura,-2.5333,140.7,24.66,90,100,1.53,ID,1684609545
252,damasak,13.0977,12.4952,34.88,31,100,3.91,NG,1684609545
253,sabha,27.0377,14.4283,27.96,14,0,6.48,LY,1684609545
254,ulaangom,49.9811,92.0667,6.81,25,100,1.8,MN,1684609275
255,belyy yar,53.6039,91.3903,12.94,30,0,3.0,RU,1684609405
256,rodinghausen,52.25,8.4833,15.27,71,49,1.34,DE,1684609546
257,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,100,100,0.0,RU,1684609314
258,taramangalam,11.7,77.9833,27.71,65,95,1.44,IN,1684609546
259,nicoya,10.1483,-85.452,36.9,34,97,4.41,CR,1684609546
260,greymouth,-42.4667,171.2,12.64,85,96,4.28,NZ,1684609256
261,namibe,-15.1961,12.1522,20.23,77,0,2.88,AO,1684609383
262,bornu yassu,12.2774,12.5552,31.45,43,100,2.97,NG,1684609546
263,constantia,44.1833,28.65,17.61,69,95,5.84,RO,1684609317
264,vila velha,-20.3297,-40.2925,24.97,71,0,6.17,BR,1684609249
265,washington,47.5001,-120.5015,30.64,37,11,1.86,US,1684609305
266,saint-pierre,-21.3393,55.4781,23.82,78,0,2.57,RE,1684609285
267,tazovsky,67.4667,78.7,-4.49,96,35,2.84,RU,1684609342
268,mil'kovo,55.6078,37.7956,13.27,69,69,3.85,RU,1684609412
269,rio branco,-9.9747,-67.81,32.34,70,40,2.06,BR,1684609502
270,sao joao da barra,-21.6403,-41.0511,26.05,67,0,3.63,BR,1684609547
271,uturoa,-16.7333,-151.4333,27.56,76,18,3.73,PF,1684609366
272,cumbum,9.7333,77.3,24.98,91,98,2.33,IN,1684609547
273,sukhobezvodnoye,57.0491,44.8891,12.62,91,100,0.95,RU,1684609547
274,inhambane,-23.865,35.3833,22.59,67,100,2.72,MZ,1684609547
275,cabo san lucas,22.8909,-109.9124,30.9,60,7,3.36,MX,1684609131
276,havre,49.5833,0.3333,15.67,77,0,7.2,FR,1684609548
277,roosevelt,33.9668,-103.4505,19.93,42,96,2.3,US,1684609548
278,nagqu,31.5,92.0,0.42,90,100,4.19,CN,1684609548
279,middle island,40.8843,-72.9373,19.35,97,100,7.2,US,1684609548
280,santana do paraiso,-19.3636,-42.5686,24.18,34,0,3.09,BR,1684609548
281,kondopoga,62.2057,34.2614,13.72,62,6,1.47,RU,1684609548
282,nova sintra,14.8667,-24.7167,20.22,79,100,9.8,CV,1684609373
283,jamestown,42.097,-79.2353,12.79,86,100,5.14,US,1684609019
284,zalingei,12.9096,23.4741,31.71,14,33,2.39,SD,1684609548
285,jumla,29.2747,82.1838,9.53,74,15,1.98,NP,1684609284
286,carnarvon,-24.8667,113.6333,19.94,34,0,8.4,AU,1684609294
287,bathinda,30.2,74.95,33.87,13,0,2.52,IN,1684609549
288,auki,-8.7676,160.7034,25.24,86,94,1.27,SB,1684609549
289,urubamba,-13.3047,-72.1158,21.5,66,99,2.12,PE,1684609549
290,belel,7.05,14.4333,19.22,77,100,1.24,CM,1684609549
291,hartstown,53.3931,-6.4269,15.22,82,0,2.06,IE,1684609549
292,pa daet,19.5049,99.9924,26.43,65,3,1.68,TH,1684609549
293,chonchi,-42.6128,-73.8092,7.29,91,100,5.54,CL,1684609312
294,creston,41.0586,-94.3614,17.98,48,0,2.57,US,1684609549
295,kavalerovo,44.2661,135.0572,6.17,99,100,1.05,RU,1684609549
296,kampung tanjung karang,3.4242,101.1849,27.0,86,100,0.47,MY,1684609549
297,naze,28.3667,129.4833,18.51,81,100,3.0,JP,1684609293
298,chibougamau,49.9168,-74.3659,14.79,63,40,1.03,CA,1684609295
299,north bondi,-33.8824,151.2769,11.96,72,0,3.6,AU,1684609550
300,miandrivazo,-19.5167,45.4667,23.05,70,5,0.46,MG,1684609550
301,gubkinskiy,64.434,76.5026,4.45,83,100,4.18,RU,1684609550
302,palu,-0.8917,119.8707,24.37,96,100,0.84,ID,1684609550
303,happy valley-goose bay,53.3168,-60.3315,16.17,25,75,4.63,CA,1684609213
304,verkhotur'ye,58.8627,60.8054,12.34,42,14,1.3,RU,1684609550
305,yibin,28.7667,104.6238,23.65,86,100,0.9,CN,1684609550
306,tarawa,1.419,172.984,28.05,83,75,2.06,KI,1684609550
307,talnakh,69.4865,88.3972,-9.62,93,46,1.49,RU,1684609313
308,penzance,50.1186,-5.5371,16.38,79,0,5.82,GB,1684609550
309,moyynkum,44.2914,72.9469,16.81,70,70,6.09,KZ,1684609551
310,tinajo,29.0788,-13.7081,20.49,52,20,6.17,ES,1684609551
311,kendari,-3.945,122.4989,23.5,92,13,1.08,ID,1684609551
312,santa ana,33.7456,-117.8678,29.84,72,100,1.54,US,1684609037
313,kingscliff,-28.2667,153.5667,9.29,93,0,2.06,AU,1684609311
314,thabazimbi,-24.5917,27.4116,14.61,28,0,1.3,ZA,1684609551
315,cumana,10.4635,-64.1775,27.18,77,83,3.3,VE,1684609249
316,agnibilekrou,7.1344,-3.2047,23.44,97,100,1.4,CI,1684609551
317,ghat,24.9647,10.1728,28.89,16,0,7.34,LY,1684609551
318,oguta,5.7089,6.8103,25.78,92,100,1.44,NG,1684609551
319,massawa,15.6097,39.45,31.29,65,3,2.81,ER,1684609552
320,kill devil hills,36.0307,-75.676,25.0,93,100,2.06,US,1684609552
321,riyadh,24.6877,46.7219,31.08,32,86,7.7,SA,1684609496
322,alice springs,-23.7,133.8833,2.75,87,40,4.0,AU,1684609315
323,pangody,65.85,74.4859,0.05,89,9,2.87,RU,1684609373
324,angra do heroismo,38.65,-27.2167,20.06,72,75,1.79,PT,1684609552
325,savannakhet,16.566,104.751,28.63,58,7,2.41,LA,1684609552
326,ebon,4.582,168.6964,28.13,79,100,4.29,MH,1684609552
327,aasiaat,68.7098,-52.8699,-0.85,88,100,8.0,GL,1684609299
328,hilo,19.7297,-155.09,26.25,84,75,3.13,US,1684609552
329,el granada,37.5027,-122.4694,22.26,80,75,8.75,US,1684609276
330,woolgoolga,-30.1106,153.2007,10.93,66,0,2.6,AU,1684609389
331,sambava,-14.2667,50.1667,23.92,90,23,1.82,MG,1684609553
332,buckeye,33.3703,-112.5838,34.18,26,0,2.06,US,1684609553
333,san patricio,28.017,-97.5169,29.92,64,95,3.4,US,1684609553
334,tikhvin,59.6451,33.5294,11.79,75,47,1.94,RU,1684609553
335,saint-philippe,-21.3585,55.7679,23.77,81,36,1.0,RE,1684609365
336,riosucio,5.4216,-75.7032,19.57,94,100,0.71,CO,1684609553
337,lauterbach,50.6333,9.4,16.89,83,67,5.61,DE,1684609553
338,kinmparana,12.8402,-4.9199,33.57,42,90,5.39,ML,1684609553
339,kokopo,-4.352,152.2633,23.95,92,100,4.54,PG,1684609554
340,urambo,-5.0667,32.05,22.14,61,99,0.94,TZ,1684609554
341,aswan,24.0934,32.907,30.61,20,0,0.0,EG,1684609554
342,kavaratti,10.5669,72.642,29.68,68,3,3.71,IN,1684609554
343,lagoa formosa,-18.7786,-46.4075,26.12,29,5,1.33,BR,1684609283
344,peniche,39.3558,-9.3811,20.6,57,79,7.76,PT,1684609436
345,weno,7.4515,151.8468,27.06,89,100,8.68,FM,1684609304
346,udomlya,57.8794,34.9925,11.02,63,100,0.82,RU,1684609554
347,fredericton,45.9454,-66.6656,22.13,51,75,8.23,CA,1684609559
348,sumbawa besar,-8.5,117.4333,20.79,93,0,2.29,ID,1684609559
349,shingu,33.7333,135.9833,19.49,90,100,1.32,JP,1684609338
350,kolwezi,-10.7148,25.4667,17.98,66,14,2.13,CD,1684609560
351,broome,42.2506,-75.833,22.23,63,75,4.47,US,1684609560
352,port elizabeth,-33.918,25.5701,13.51,81,0,1.54,ZA,1684609286
353,ketchikan,55.3422,-131.6461,15.26,72,100,6.69,US,1684609560
354,nedryhayliv,50.834,33.8763,11.9,71,1,4.72,UA,1684609560
355,port moresby,-9.4431,147.1797,22.68,100,20,2.57,PG,1684609560
356,san juan,-31.5375,-68.5364,19.25,38,9,2.23,AR,1684608764
357,elassona,39.8947,22.1886,17.63,71,94,1.55,GR,1684609561
